prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q3-PRO-S,Q3,pest_control,PRO,S,310,4,0,2,3,
Q3-PRO-M,Q3,pest_control,PRO,M,367,5,0,3,3,
Q3-PRO-L,Q3,pest_control,PRO,L,592,5,0,3,3,
Q4-N-S,Q4,cover_crops,N,S,223,3,1,2,2,
Q4-N-M,Q4,cover_crops,N,M,295,3,0,2,2,
Q4-N-L,Q4,cover_crops,N,L,642,4,0,3,3,
Q4-NOV-S,Q4,cover_crops,NOV,S,294,3,1,2,2,
Q4-NOV-M,Q4,cover_crops,NOV,M,333,3,0,2,2,
Q4-NOV-L,Q4,cover_crops,NOV,L,421,4,0,3,3,
Q4-MOD-S,Q4,cover_crops,MOD,S,240,3,1,2,2,
Q4-MOD-M,Q4,cover_crops,MOD,M,256,3,0,2,2,
Q4-MOD-L,Q4,cover_crops,MOD,L,458,4,0,3,3,
Q4-EXP-S,Q4,cover_crops,EXP,S,414,4,1,3,3,
Q4-EXP-M,Q4,cover_crops,EXP,M,327,4,0,2,3,
Q4-EXP-L,Q4,cover_crops,EXP,L,523,4,0,3,3,
Q4-PRO-S,Q4,cover_crops,PRO,S,535,5,1,3,3,
Q4-PRO-M,Q4,cover_crops,PRO,M,337,4,0,2,3,
Q4-PRO-L,Q4,cover_crops,PRO,L,527,5,0,3,3,
Q5-N-S,Q5,composting,N,S,247,2,0,2,1,
Q5-N-M,Q5,composting,N,M,315,3,0,3,2,
Q5-N-L,Q5,composting,N,L,545,3,0,3,2,
Q5-NOV-S,Q5,composting,NOV,S,269,2,0,3,1,
Q5-NOV-M,Q5,composting,NOV,M,371,2,0,3,1,
Q5-NOV-L,Q5,composting,NOV,L,551,2,0,3,1,
Q5-MOD-S,Q5,composting,MOD,S,219,3,0,3,2,
Q5-MOD-M,Q5,composting,MOD,M,308,3,0,3,2,
Q5-MOD-L,Q5,composting,MOD,L,620,3,0,3,2,
Q5-EXP-S,Q5,composting,EXP,S,301,3,0,3,2,
Q5-EXP-M,Q5,composting,EXP,M,284,3,0,3,2,
Q5-EXP-L,Q5,composting,EXP,L,497,3,0,3,2,
Q5-PRO-S,Q5,composting,PRO,S,344,4,0,3,3,
Q5-PRO-M,Q5,composting,PRO,M,306,4,0,3,3,
Q5-PRO-L,Q5,composting,PRO,L,856,4,0,3,3,
Q6-N-S,Q6,water_conservation,N,S,131,3,0,3,2,
Q6-N-M,Q6,water_conservation,N,M,334,3,0,3,2,
Q6-N-L,Q6,water_conservation,N,L,519,4,0,3,3,
Q6-NOV-S,Q6,water_conservation,NOV,S,250,3,0,3,2,
Q6-NOV-M,Q6,water_conservation,NOV,M,340,3,0,3,2,
Q6-NOV-L,Q6,water_conservation,NOV,L,493,4,0,3,3,
Q6-MOD-S,Q6,water_conservation,MOD,S,189,3,0,3,2,
Q6-MOD-M,Q6,water_conservation,MOD,M,365,4,0,3,3,
Q6-MOD-L,Q6,water_conservation,MOD,L,588,4,0,3,3,
Q6-EXP-S,Q6,water_conservation,EXP,S,245,4,0,2,3,
Q6-EXP-M,Q6,water_conservation,EXP,M,365,4,0,3,3,
Q6-EXP-L,Q6,water_conservation,EXP,L,700,5,0,3,3,
Q6-PRO-S,Q6,water_conservation,PRO,S,280,4,0,3,3,
Q6-PRO-M,Q6,water_conservation,PRO,M,464,5,0,3,3,
Q6-PRO-L,Q6,water_conservation,PRO,L,654,5,0,3,3,
Q7-N-S,Q7,no_till,N,S,252,3,0,3,2,
Q7-N-M,Q7,no_till,N,M,401,3,0,3,2,
Q7-N-L,Q7,no_till,N,L,482,4,0,3,3,
Q7-NOV-S,Q7,no_till,NOV,S,338,3,0,3,2,
Q7-NOV-M,Q7,no_till,NOV,M,361,3,0,3,2,
Q7-NOV-L,Q7,no_till,NOV,L,485,4,0,3,3,
Q7-MOD-S,Q7,no_till,MOD,S,261,3,0,3,2,
Q7-MOD-M,Q7,no_till,MOD,M,363,3,0,3,2,
Q7-MOD-L,Q7,no_till,MOD,L,494,3,0,3,2,
Q7-EXP-S,Q7,no_till,EXP,S,275,4,0,3,3,
Q7-EXP-M,Q7,no_till,EXP,M,332,4,0,3,3,
Q7-EXP-L,Q7,no_till,EXP,L,519,4,0,3,3,
Q7-PRO-S,Q7,no_till,PRO,S,385,4,0,3,3,
Q7-PRO-M,Q7,no_till,PRO,M,332,4,0,3,3,
Q7-PRO-L,Q7,no_till,PRO,L,482,4,0,3,3,
