prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q7-NOV-L,Q7,no_till,NOV,L,643,,,,,
Q7-MOD-S,Q7,no_till,MOD,S,373,,,,,
Q7-MOD-M,Q7,no_till,MOD,M,613,,,,,
Q7-MOD-L,Q7,no_till,MOD,L,531,,,,,
Q7-EXP-S,Q7,no_till,EXP,S,384,,,,,
Q7-EXP-M,Q7,no_till,EXP,M,261,,,,,
Q7-EXP-L,Q7,no_till,EXP,L,536,,,,,
Q7-PRO-S,Q7,no_till,PRO,S,0,,,,,
Q7-PRO-M,Q7,no_till,PRO,M,667,,,,,
Q7-PRO-L,Q7,no_till,PRO,L,917,,,,,
