prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q4-N-M,Q4,cover_crops,N,M,266,3,0,3,2,
Q4-N-L,Q4,cover_crops,N,L,442,4,0,3,3,
Q4-NOV-S,Q4,cover_crops,NOV,S,304,3,1,3,2,
Q4-NOV-M,Q4,cover_crops,NOV,M,396,3,0,3,2,
Q4-NOV-L,Q4,cover_crops,NOV,L,581,4,0,3,3,
Q4-MOD-S,Q4,cover_crops,MOD,S,263,3,0,3,2,
Q4-MOD-M,Q4,cover_crops,MOD,M,299,3,0,3,2,
Q4-MOD-L,Q4,cover_crops,MOD,L,452,4,0,3,3,
Q4-EXP-S,Q4,cover_crops,EXP,S,260,4,1,3,3,
Q4-EXP-M,Q4,cover_crops,EXP,M,296,4,0,2,3,
Q4-EXP-L,Q4,cover_crops,EXP,L,513,4,0,3,3,
Q4-PRO-S,Q4,cover_crops,PRO,S,285,5,1,3,3,
Q4-PRO-M,Q4,cover_crops,PRO,M,294,4,0,2,3,
Q4-PRO-L,Q4,cover_crops,PRO,L,443,5,0,3,3,
Q5-N-S,Q5,composting,N,S,318,2,0,3,1,
Q5-N-M,Q5,composting,N,M,410,2,0,3,1,
Q5-N-L,Q5,composting,N,L,585,3,0,3,2,
Q5-NOV-S,Q5,composting,NOV,S,356,2,0,3,1,
Q5-NOV-M,Q5,composting,NOV,M,429,2,0,3,1,
Q5-NOV-L,Q5,composting,NOV,L,403,2,0,3,1,
Q5-MOD-S,Q5,composting,MOD,S,308,3,0,3,2,
Q5-MOD-M,Q5,composting,MOD,M,408,3,0,3,2,
Q5-MOD-L,Q5,composting,MOD,L,426,3,0,3,2,
Q5-EXP-S,Q5,composting,EXP,S,270,4,0,3,3,
Q5-EXP-M,Q5,composting,EXP,M,376,3,0,3,2,
Q5-EXP-L,Q5,composting,EXP,L,529,4,0,3,3,
Q5-PRO-S,Q5,composting,PRO,S,349,5,0,3,3,
Q5-PRO-M,Q5,composting,PRO,M,487,4,0,3,3,
Q5-PRO-L,Q5,composting,PRO,L,539,4,0,3,3,
Q6-N-S,Q6,water_conservation,N,S,281,3,1,3,2,
Q6-N-M,Q6,water_conservation,N,M,350,3,0,3,2,
Q6-N-L,Q6,water_conservation,N,L,729,4,0,3,3,
Q6-NOV-S,Q6,water_conservation,NOV,S,332,2,0,3,1,
Q6-NOV-M,Q6,water_conservation,NOV,M,398,3,0,3,2,
Q6-NOV-L,Q6,water_conservation,NOV,L,648,4,0,3,3,
Q6-MOD-S,Q6,water_conservation,MOD,S,218,3,0,3,2,
Q6-MOD-M,Q6,water_conservation,MOD,M,409,4,0,3,3,
Q6-MOD-L,Q6,water_conservation,MOD,L,721,4,0,3,3,
Q6-EXP-S,Q6,water_conservation,EXP,S,302,4,1,3,3,
Q6-EXP-M,Q6,water_conservation,EXP,M,378,4,0,3,3,
Q6-EXP-L,Q6,water_conservation,EXP,L,917,5,0,3,3,
Q6-PRO-S,Q6,water_conservation,PRO,S,312,5,0,3,3,
Q6-PRO-M,Q6,water_conservation,PRO,M,353,5,0,3,3,
Q6-PRO-L,Q6,water_conservation,PRO,L,639,5,0,3,3,
Q7-N-S,Q7,no_till,N,S,203,3,0,3,2,
Q7-N-M,Q7,no_till,N,M,495,3,0,3,2,
Q7-N-L,Q7,no_till,N,L,601,4,0,3,3,
Q7-NOV-S,Q7,no_till,NOV,S,369,2,0,3,1,
Q7-NOV-M,Q7,no_till,NOV,M,382,3,0,3,2,
Q7-NOV-L,Q7,no_till,NOV,L,643,4,0,3,3,
Q7-MOD-S,Q7,no_till,MOD,S,373,3,0,3,2,
Q7-MOD-M,Q7,no_till,MOD,M,613,3,0,3,2,
Q7-MOD-L,Q7,no_till,MOD,L,531,4,0,3,3,
Q7-EXP-S,Q7,no_till,EXP,S,384,4,0,3,3,
Q7-EXP-M,Q7,no_till,EXP,M,261,3,2,3,2,Refusal preface; scored on substantive guidance.
Q7-EXP-L,Q7,no_till,EXP,L,536,4,0,3,3,
Q7-PRO-S,Q7,no_till,PRO,S,0,1,0,1,1,ERROR response ? no content.
Q7-PRO-M,Q7,no_till,PRO,M,667,4,0,3,3,
Q7-PRO-L,Q7,no_till,PRO,L,917,4,0,3,3,
