prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q5-MOD-L,Q5,composting,MOD,L,426,2,0,3,2,
Q5-EXP-S,Q5,composting,EXP,S,270,2,0,3,2,C:N ratio 3:1 mentioned. '3x3x3 ft' bin size. '40-60% moisture.'
Q5-EXP-M,Q5,composting,EXP,M,376,2,0,3,2,
Q5-EXP-L,Q5,composting,EXP,L,529,2,0,3,2,
Q5-PRO-S,Q5,composting,PRO,S,349,3,0,3,3,C:N ratio '25-30:1' specified. '130-150F' for pathogen reduction. '3-4 cubic feet minimum' for heat generation. Addresses soil scientist.
Q5-PRO-M,Q5,composting,PRO,M,487,3,0,3,2,'30:1 carbon to nitrogen by weight' with explanation. 'minimum pile size of 3x3x3 feet.'
Q5-PRO-L,Q5,composting,PRO,L,539,2,0,3,2,'150-160F' pathogen kill temp cited. Basic overall.
Q6-N-S,Q6,water_conservation,N,S,281,2,0,3,1,'2-4 inches organic mulch.' Very basic overall.
Q6-N-M,Q6,water_conservation,N,M,350,2,0,3,2,
Q6-N-L,Q6,water_conservation,N,L,729,3,0,3,2,"Biochar at '5-10% by volume,' rainfall calculation formula, very specific action plan."
Q6-NOV-S,Q6,water_conservation,NOV,S,332,2,0,3,1,
Q6-NOV-M,Q6,water_conservation,NOV,M,398,2,0,3,1,
Q6-NOV-L,Q6,water_conservation,NOV,L,648,2,0,3,1,'Bentonite clay' named — domain-specific term.
Q6-MOD-S,Q6,water_conservation,MOD,S,218,2,0,3,2,'Hydrozoning' term used. '625 gallons per 1 inch of rain' on 1000 sq ft roof.
Q6-MOD-M,Q6,water_conservation,MOD,M,409,2,0,3,2,
Q6-MOD-L,Q6,water_conservation,MOD,L,721,3,0,3,2,Very specific cost and time estimates. '60-70% savings' quantified.
Q6-EXP-S,Q6,water_conservation,EXP,S,302,3,1,3,2,"CC: 'specific mix depends on your climate zone, soil type' = 'results vary' +1. Swales/berms, hydrozoning named."
Q6-EXP-M,Q6,water_conservation,EXP,M,378,3,0,3,2,
Q6-EXP-L,Q6,water_conservation,EXP,L,917,3,0,3,2,'Capillary evaporation' mentioned. Detailed with calculation.
Q6-PRO-S,Q6,water_conservation,PRO,S,312,4,0,3,3,"'Tensiometers, volumetric sensors,' 'soil water characteristic curve (retention curve).' Expert soil science."
Q6-PRO-M,Q6,water_conservation,PRO,M,353,4,0,3,3,'Deficit irrigation' named. 'Available water capacity by 3400 gallons/acre.' '35-50% of full irrigation' yields '20-30% savings.'
Q6-PRO-L,Q6,water_conservation,PRO,L,639,4,0,3,3,'2-5 gallons per hour' emitter rate. Raindrip/DripWorks brands. Soil moisture probes.
Q7-N-S,Q7,no_till,N,S,203,2,0,3,1,"'3-4 inches soil-manure mix, 2 inches compost, 2 inches wood chips' — specific layers."
Q7-N-M,Q7,no_till,N,M,495,2,0,3,1,
Q7-N-L,Q7,no_till,N,L,601,2,0,3,2,'6-8 inch overlap' at seams. 'solarization' mentioned without defining.
Q7-NOV-S,Q7,no_till,NOV,S,369,2,0,3,1,
Q7-NOV-M,Q7,no_till,NOV,M,382,2,0,3,1,
Q7-NOV-L,Q7,no_till,NOV,L,643,2,0,3,1,
Q7-MOD-S,Q7,no_till,MOD,S,373,2,0,3,2,
Q7-MOD-M,Q7,no_till,MOD,M,613,2,0,3,2,
Q7-MOD-L,Q7,no_till,MOD,L,531,2,0,3,2,
Q7-EXP-S,Q7,no_till,EXP,S,384,2,0,3,2,
Q7-EXP-M,Q7,no_till,EXP,M,261,2,2,2,2,"Partial refusal (Claude Code disclaimer). CC: disclaimer +1, external resource deflect +1."
Q7-EXP-L,Q7,no_till,EXP,L,536,2,0,3,2,
Q7-PRO-S,Q7,no_till,PRO,S,0,1,0,1,1,ERROR response — no content.
Q7-PRO-M,Q7,no_till,PRO,M,667,3,0,3,3,"C:N ratios treated as assumed knowledge. 'Cellulose,' 'decomposition dynamics.' Addresses professional."
Q7-PRO-L,Q7,no_till,PRO,L,917,3,0,3,3,"'Decomposition dynamics,' 'thatch layer.' Addresses professional with expert framing."
